Sequence,Score
XX4/X8/2/X7/XX07,193
X2/XX7/4/3/XXX67,213
3/X3/2/2/8/2/XXX88,198
X-/5/XX3/6/XXX50,204
8/9/7/5/1/X3/X1/1/9,172
9/8/3/XX8/XXX4/3,206
X9/XX5/8/XXXX44,225
X1/5/X4/5/X8/X4/5,185
4/2/8/8/-/2/8/9/XX103,163
4/X-/3/X8/X7/1/X17,182
4/7/-/7/XX5/X-/2/2,173
3/XXX2/X2/X4/4/1,197
5/2/7/7/3/4/4/6/-/X103,148
6/XX5/8/1/7/9/XX50,190
XXXX9/XX7/5/1/8,220
7/9/8/X2/9/XXX7/5,208
X3/XXXX6/9/6/7/8,216
XXX4/2/-/1/3/8/X13,172
XXXX8/3/2/X-/7/8,208
7/4/XX7/4/XXX9/3,207
XXX7/X6/6/4/-/7/1,185
4/XXX1/X3/6/2/-/2,181
2/XXX5/XX4/XX93,230
X6/9/5/6/7/2/X1/7/9,175
6/4/5/XXXXXX3/4,226
XXX5/1/3/9/X9/X19,198
-/XX3/8/XX1/X-/2,194
X3/7/X2/2/X7/XX66,197
X9/5/-/XX2/1/X-/5,173
XXX3/6/7/9/X2/X56,206
X-/XXXXXX8/-/10,230
9/8/8/XX1/9/2/X4/3,181
8/3/XXXXXXX4/1,238
XXX-/6/X4/XXX53,219
5/7/X8/2/7/X9/X9/3,179
2/X1/2/7/-/X9/3/X09,171
2/XXXXX6/X5/2/8,226
8/XXX1/XX7/XX01,209
2/9/XXX1/7/X8/X22,201
XXXX5/X8/X2/4/9,218
3/-/XX1/3/X6/XX34,184
XX9/XX4/XXXX09,232
2/-/8/1/4/2/X4/2/X31,151
X3/2/5/6/XXX-/X82,193
XXXXX-/XXXX210,248
2/-/XX7/X4/5/XX16,190
1/7/X6/1/X1/XX3/2,183
6/2/2/X4/XXXX4/5,203
XXXX3/XX7/3/X07,220
4/6/9/X-/X4/6/5/X110,180
XX5/XXXXX5/X76,243
XXXX6/5/XXXX310,242
XXXXX6/4/7/XX210,225
XX8/5/3/X-/6/5/X70,184
9/XX2/XXX2/1/5/2,192
X1/1/2/6/XX6/3/6/9,173
3/6/XX2/7/X4/6/5/8,184
XXXXX9/X-/XX15,236
7/XXX2/XX2/8/-/1,193
6/X8/6/1/6/2/X2/9/7,171
5/9/7/3/XXXXXX103,225
2/2/5/XX4/X5/9/X88,196
X1/8/-/X1/1/XX3/10,174
X1/-/X2/XXXX6/6,212
6/X9/7/X8/X5/XX107,197
X2/5/XXX7/9/XX710,224
3/X9/7/7/2/X4/X4/7,183
XXX3/XXX9/XX60,234
XXX5/4/XX6/9/7/10,203
8/9/X3/4/X4/XXX93,214
5/5/2/8/XX2/X9/3/1,171
XX2/7/4/4/2/-/X8/2,161
1/-/2/X5/1/5/X3/X36,167
1/5/XX1/4/XXX4/8,202
X1/1/X7/6/7/XX8/4,186
X3/8/9/2/X4/XXX85,210
X1/XXXXX3/X9/7,230
9/XXX-/X3/6/X1/8,204
3/X3/X-/6/1/XX5/10,184
6/1/XX5/6/4/8/X9/5,179
7/X6/7/4/X3/X9/8/3,182
XXXXX2/X3/X9/4,226
X6/X1/X8/XX9/4/10,195
XX3/6/8/5/X1/X9/3,185
X8/2/XX5/X5/XX09,196
9/XXXXXXXX4/7,261
